wave_id,wave_name,mode_default,benchmark_spec,holdings_source,category,active,ticker_raw,ticker_normalized,created_at,updated_at
future_energy_ev_wave,Future Energy & EV Wave,Standard,"XLE:0.5000,ICLN:0.5000",canonical,equity_growth,True,"XLE,ICLN,ENPH,NEE,FSLR,TSLA,RUN,BP,CVX,PLUG","XLE,ICLN,ENPH,NEE,FSLR,TSLA,RUN,BP,CVX,PLUG",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
future_power_energy_wave,Future Power & Energy Wave,Standard,"ICLN:0.5000,XLE:0.5000",canonical,equity_growth,True,"ICLN,TAN,NEE,ENPH,FSLR,XLE,PLUG,BE,RUN,SEDG","ICLN,TAN,NEE,ENPH,FSLR,XLE,PLUG,BE,RUN,SEDG",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
gold_wave,Gold Wave,Standard,"GLD:0.5000,IAU:0.5000",canonical,special,True,"GLD,IAU","GLD,IAU",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
income_wave,Income Wave,Standard,"VYM:0.5000,SCHD:0.5000",canonical,equity_income,True,"VYM,SCHD,DVY,HDV,NOBL","VYM,SCHD,DVY,HDV,NOBL",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
infinity_multi_asset_growth_wave,Infinity Multi-Asset Growth Wave,Standard,"SPY:0.4000,QQQ:0.4000,BTC-USD:0.2000",canonical,equity_growth,True,"SPY,QQQ,VGT,SMH,ICLN,PAVE,IWO,BTC-USD,ETH-USD","SPY,QQQ,VGT,SMH,ICLN,PAVE,IWO,BTC-USD,ETH-USD",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
next_gen_compute_semis_wave,Next-Gen Compute & Semis Wave,Standard,"QQQ:0.5000,SMH:0.5000",canonical,equity_growth,True,"IBM,MSFT,GOOGL,NVDA,AMZN,QCOM,INTC,TSM,ADBE,SNOW","IBM,MSFT,GOOGL,NVDA,AMZN,QCOM,INTC,TSM,ADBE,SNOW",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
quantum_computing_wave,Quantum Computing Wave,Standard,"QQQ:0.6000,VGT:0.4000",canonical,equity_growth,True,"IONQ,RGTI,QBTS,IBM,GOOGL,MSFT,NVDA,AMD","IONQ,RGTI,QBTS,IBM,GOOGL,MSFT,NVDA,AMD",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
russell_3000_wave,Russell 3000 Wave,Standard,IWV:1.0000,canonical,equity_growth,False,IWV,IWV,2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
small_cap_growth_wave,Small Cap Growth Wave,Standard,"IWO:0.5000,VBK:0.5000",canonical,equity_growth,True,"IWO,VBK,VTWO,IJH","IWO,VBK,VTWO,IJH",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
small_to_mid_cap_growth_wave,Small to Mid Cap Growth Wave,Standard,"IWP:0.5000,IWO:0.5000",canonical,equity_growth,True,"IJH,IWP,MDY,IWO,VBK","IJH,IWP,MDY,IWO,VBK",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
smartsafe_tax_free_money_market_wave,SmartSafe Tax-Free Money Market Wave,Standard,"SUB:0.5000,SHM:0.5000",canonical,equity_income,True,"SUB,SHM,MUB","SUB,SHM,MUB",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
smartsafe_treasury_cash_wave,SmartSafe Treasury Cash Wave,Standard,"BIL:0.5000,SGOV:0.5000",canonical,equity_income,True,"BIL,SGOV","BIL,SGOV",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
sp500_wave,S&P 500 Wave,Standard,SPY:1.0000,canonical,equity_growth,True,SPY,SPY,2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
us_megacap_core_wave,US MegaCap Core Wave,Standard,SPY:1.0000,canonical,equity_growth,True,"AAPL,MSFT,AMZN,GOOGL,META,NVDA,BRK-B,UNH,JPM,XOM","AAPL,MSFT,AMZN,GOOGL,META,NVDA,BRK-B,UNH,JPM,XOM",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
us_mid_small_growth_semis_wave,US Mid/Small Growth & Semis Wave,Standard,"IWP:0.5000,IWO:0.5000",canonical,equity_growth,True,"IWP,MDY,IWO,SMH","IWP,MDY,IWO,SMH",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
us_small_cap_disruptors_wave,US Small-Cap Disruptors Wave,Standard,"IWO:0.5000,VBK:0.5000",canonical,equity_growth,True,"IWO,VBK,ARKK,ZS,DDOG,NET","IWO,VBK,ARKK,ZS,DDOG,NET",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
vector_muni_ladder_wave,Vector Muni Ladder Wave,Standard,"SUB:0.3000,SHM:0.3000,MUB:0.4000",canonical,equity_income,True,"SUB,SHM,MUB,TFI,HYD","SUB,SHM,MUB,TFI,HYD",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
vector_treasury_ladder_wave,Vector Treasury Ladder Wave,Standard,"BIL:0.2500,SHY:0.2500,IEF:0.2500,TLT:0.2500",canonical,equity_income,True,"BIL,SHY,IEF,TLT,LQD","BIL,SHY,IEF,TLT,LQD",2025-12-28T05:54:16.897692,2025-12-28T05:54:16.897692
